,AcX,AcY,AcZ,FSR A,FSR B,Gesture,Position
309,-14016.0,-6840.0,-2696.0,1214.0,0.0,0,1.0
311,-14036.0,-6952.0,-2480.0,1211.0,0.0,0,1.0
313,-14040.0,-6984.0,-2616.0,1191.0,0.0,0,1.0
315,-13992.0,-6832.0,-2648.0,1210.0,0.0,0,1.0
317,-14096.0,-6848.0,-2576.0,1207.0,0.0,0,1.0
319,-14068.0,-6784.0,-2652.0,1213.0,0.0,0,1.0
321,-14084.0,-6712.0,-2684.0,1211.0,0.0,0,1.0
323,-14064.0,-6764.0,-2732.0,1200.0,0.0,0,1.0
325,-14056.0,-6876.0,-2672.0,1217.0,0.0,0,1.0
327,-14024.0,-6832.0,-2564.0,1210.0,0.0,0,1.0
329,-14020.0,-6892.0,-2752.0,1211.0,0.0,0,1.0
331,-14092.0,-6988.0,-2824.0,1216.0,0.0,0,1.0
333,-14036.0,-6780.0,-2552.0,1195.0,0.0,0,1.0
335,-14064.0,-6772.0,-2796.0,1216.0,0.0,0,1.0
337,-14120.0,-6828.0,-2692.0,1210.0,0.0,0,1.0
339,-14060.0,-6876.0,-2740.0,1214.0,0.0,0,1.0
341,-14080.0,-6876.0,-2772.0,1215.0,0.0,0,1.0
343,-14044.0,-6836.0,-2656.0,1228.0,0.0,0,1.0
345,-14004.0,-6804.0,-2592.0,1213.0,0.0,0,1.0
347,-14152.0,-6760.0,-2576.0,1206.0,0.0,0,1.0
349,-14140.0,-6956.0,-2660.0,1216.0,0.0,0,1.0
351,-14144.0,-6920.0,-2608.0,1212.0,0.0,0,1.0
353,-14104.0,-6968.0,-2652.0,1199.0,0.0,0,1.0
355,-14052.0,-6868.0,-2600.0,1214.0,0.0,0,1.0
357,-14052.0,-6940.0,-2640.0,1209.0,0.0,0,1.0
359,-14100.0,-6856.0,-2428.0,1216.0,0.0,0,1.0
361,-14064.0,-6804.0,-2700.0,1216.0,0.0,0,1.0
363,-14052.0,-6864.0,-2724.0,1174.0,0.0,0,1.0
365,-14116.0,-6960.0,-2572.0,1216.0,0.0,0,1.0
367,-14044.0,-6812.0,-2700.0,1213.0,0.0,0,1.0
369,-13980.0,-6852.0,-2560.0,1229.0,0.0,0,1.0
371,-14056.0,-6892.0,-2756.0,1195.0,0.0,0,1.0
373,-14112.0,-6920.0,-2792.0,1227.0,0.0,0,1.0
375,-14052.0,-6864.0,-2608.0,1214.0,0.0,0,1.0
377,-14092.0,-6920.0,-2740.0,1210.0,0.0,0,1.0
379,-14012.0,-6964.0,-2608.0,1231.0,0.0,0,1.0
381,-13976.0,-6864.0,-2552.0,1226.0,0.0,0,1.0
383,-14004.0,-6844.0,-2760.0,1254.0,0.0,0,1.0
385,-14044.0,-6868.0,-2720.0,1214.0,0.0,0,1.0
387,-13980.0,-6840.0,-2564.0,1215.0,0.0,0,1.0
389,-14064.0,-6952.0,-2756.0,1225.0,0.0,0,1.0
391,-14004.0,-6840.0,-2720.0,1216.0,0.0,0,1.0
393,-14064.0,-6860.0,-2852.0,1232.0,0.0,0,1.0
395,-14008.0,-6824.0,-2876.0,1213.0,0.0,0,1.0
397,-14144.0,-6848.0,-2716.0,1210.0,0.0,0,1.0
399,-13900.0,-6732.0,-2772.0,1213.0,0.0,0,1.0
401,-13976.0,-6728.0,-2596.0,1216.0,0.0,0,1.0
403,-13964.0,-6916.0,-2528.0,1185.0,0.0,0,1.0
405,-14000.0,-6920.0,-2644.0,1216.0,0.0,0,1.0
407,-14220.0,-6856.0,-2924.0,1216.0,0.0,0,1.0
409,-14144.0,-6864.0,-2636.0,1217.0,0.0,0,1.0
411,-14052.0,-6792.0,-2652.0,1219.0,0.0,0,1.0
413,-14012.0,-6760.0,-2708.0,1214.0,0.0,0,1.0
415,-13996.0,-6864.0,-2732.0,1217.0,0.0,0,1.0
417,-14128.0,-6860.0,-2880.0,1210.0,0.0,0,1.0
419,-14012.0,-6900.0,-2588.0,1216.0,0.0,0,1.0
421,-13912.0,-6916.0,-2764.0,1215.0,0.0,0,1.0
423,-14064.0,-6796.0,-2792.0,1242.0,0.0,0,1.0
425,-14004.0,-6872.0,-2784.0,1216.0,0.0,0,1.0
427,-14056.0,-6848.0,-2692.0,1216.0,0.0,0,1.0
429,-14136.0,-6828.0,-2732.0,1222.0,0.0,0,1.0
431,-14100.0,-6840.0,-2756.0,1216.0,0.0,0,1.0
433,-14248.0,-6732.0,-2732.0,1183.0,0.0,0,1.0
435,-14140.0,-6800.0,-2828.0,1216.0,0.0,0,1.0
437,-14140.0,-6832.0,-2852.0,1220.0,0.0,0,1.0
