AcX,AcY,AcZ,FSR A,FSR B
-13996,-6864,-2732,1217,0
,,,,
-14128,-6860,-2880,1210,0
,,,,
-14012,-6900,-2588,1216,0
,,,,
-13912,-6916,-2764,1215,0
,,,,
-14064,-6796,-2792,1242,0
,,,,
-14004,-6872,-2784,1216,0
,,,,
-14056,-6848,-2692,1216,0
,,,,
-14136,-6828,-2732,1222,0
,,,,
-14100,-6840,-2756,1216,0
,,,,
-14248,-6732,-2732,1183,0
,,,,
-14140,-6800,-2828,1216,0
,,,,
-14140,-6832,-2852,1220,0
,,,,
-14028,-6852,-2788,1213,0
,,,,
-14064,-6864,-2796,1202,0
,,,,
-14184,-6912,-2732,1158,0
,,,,
-14140,-6948,-2656,1213,0
,,,,
-14128,-6764,-2608,1214,0
,,,,
-14084,-6756,-2636,1228,0
,,,,
-14056,-6696,-2588,1208,0
,,,,
-14112,-6780,-2840,1255,0
,,,,
-14080,-6736,-2792,1216,0
,,,,
-13968,-6724,-2612,1214,0
,,,,
-13988,-6824,-2724,1222,0
,,,,
-14036,-6908,-2748,1229,0
,,,,
-14064,-6900,-2652,1264,0
,,,,
-14096,-6856,-2636,1217,0
,,,,
-14080,-6784,-2644,1216,0
,,,,
-14060,-6800,-2716,1216,0
,,,,
-14076,-6708,-2776,1228,0
,,,,
-14108,-6708,-2748,1190,0
,,,,
-14032,-6812,-2660,1215,0
,,,,
-14120,-6700,-2824,1216,0
,,,,
-14196,-6856,-2684,1214,0
,,,,
-14092,-6780,-2744,1201,0
,,,,
-14132,-6796,-2716,1183,0
,,,,
-14244,-6844,-2640,1211,0
,,,,
-14132,-6800,-2704,1215,0
,,,,
-14120,-6736,-2780,1218,0
,,,,
-13916,-6864,-2616,1190,0
,,,,
-13960,-6812,-2752,1250,0
,,,,
-13996,-6804,-2760,1219,0
,,,,
-14072,-6732,-2712,1215,0
,,,,
-14084,-6760,-2784,1233,0
,,,,
-14080,-6852,-2728,1254,0
,,,,
-13960,-6780,-2860,1217,0
,,,,
